keyword,article_count,summary,original_length,summary_length,compression_ratio,processing_time,created_at
윤시윤,5,"배우 배우 윤시윤이 SBS 예능 프로그램 ‘미운 우리 새끼’에서 방송 최초로 자택과 일상을 공개한 가운데, 6월 1일 방송된 SBS 예능 ‘미운 우리 새끼’에서 윤시윤은 단 1분도 허투루 보내지 않는 치밀한 자기관리의 정점을 보여주었고, 냉장고의 물건 하나, 스마트폰의 아이콘까지 매끄럽게 정돈된 공간에서 윤시윤은 자신만의 규칙으로 하루를 시작한다.",830,195,23.5,2.67,2025-06-02T17:24:16.696589
짐 로저스,5,"김 제주시 거점 유세에서 세계적인 투자자로 꼽히는 짐 로저스의 '이재명 후보 허위 지지선언' 논란을 집중 추궁하기도 한 김 후보는 오전 제주시 거점 유세에서 세계적인 투자자로 꼽히는 짐 로저스 회장이 이재명 후보를 지지한 것은 가짜로 판명됐다며 총공세를 펼쳤고, 지지부진한 부산 현안 과제를 해결하겠다며 보수 표심에 영향을 줄 걸로 보인다.",804,190,23.6,2.52,2025-06-02T17:24:19.221315
창원 버스 파업,5,경남 창원시의 시내버스 노조 파업이 지난달 28일부터 시작된 파업은 이날로 엿새째를 맞으며 역대 최장 기간을 기록했으나 노사정이 무기한 협상에 돌입한 끝에 합의에 이르면서 2일 오후 늦게 극적으로 타결됐다.,686,115,16.8,1.51,2025-06-02T17:24:20.735938
클로드,5,"앤트로픽의 대표 챗봇 '클로드'가 코딩 능력을 갖춘 점도 인재 선발 기준에 영향을 미치고 있으며, 앤트로픽의 대표 챗봇 '클로드'가 코딩 능력을 갖춘 점도 인재 선발 기준에 영향을 미치고 있으며, 앤트로픽의 대표 챗봇 '클로드'가 코딩 능력을 갖춘 점도 인재 선발 기준에 영향을 미치고 있다.",833,163,19.6,2.12,2025-06-02T17:24:22.853857
투표 시간,5,대선 투표 하루 전날인 2일 부산 유세 중 발표한 대국민 입장문을 통해 “내일은 진실이 거짓을 이기는 날”이라며 “국민들이 힘든 계엄의 시간을 보낼 때 국회 독재를 일삼고 사법리스크에 떨고 있던 이재명 후보는 투표 보조 못 받아 포기”...창원 장애인 단체 '참정권' 보장 촉구...DeFiLlama의 데이터에 따르면 팬케이크스왑이 처음으로 토크노믹스 3.,865,199,23.0,2.3,2025-06-02T17:24:25.151571
트렌드,5,"소프트캠프 솔루션 데이는 매년 파트너를 대상으로 보안 시장 트렌드와 업계 이슈를 공유하고, 소프트캠프의 솔루션을 제안해 비즈니스 기회를 견고히 하고자 마련된 행사로, 올해 행사는 일본 시장 내 전략적 행사로, 김정우 멀티M&amp;S부문장은 '쿠퍼스 깨곰'이 뉴사이클 트렌드를 반영한 제품인 만큼 레트로 감성을 강조해 영상을 제작했다고 말했다.",857,192,22.4,2.56,2025-06-02T17:24:27.712022
폴란드 대선,5,‘친(親)트럼프 대 친유럽’의 구도 속에 치러진 이번 폴란드 대선은 두 후보 간 박빙의 승부를 겨뤘으며 폴란드 대선 결선투표 개표 결과 야권 법과정의당의 지지를 받은 나브로츠키 후보가 50.89%의 득표율로 승리하여 폴란드 역시 디지털 자산 친화 정책을 본격화할 가능성이 커졌다.,802,156,19.5,2.31,2025-06-02T17:24:30.021988
하지원,5,환경단체 에코나우가 세계 환경의 날과 21대 대통령 선거를 맞아 '지구를 위한 한 표: 미래세대에게 중요한 기후정책은?'을 주제로 시민 대상 설문조사를 진행하는데 최근 해외팬 SNS에는 &quot;하지원 최근 근황&quot;이라며 사진이 게시됐고 사진 속에는 평소와 다른 파격적인 상의를 입은 하지원의 모습이 담겨 있다.,837,179,21.4,2.14,2025-06-02T17:24:32.158518
헤일리 스타인펠드,5,"마블 마블 시네마틱 유니버스(MCU) 드라마 '호크아이'로 유명한 헤일리 스타인펠드가 품절녀 대열에 합류했는데 1일(현지시간) 미국 엔터테인먼트 투나잇 등 다수 매체는 헤일리 스타인펠드가 미국 미식축구리그(NFL)버팔로, 1일(현지시간) 미국 엔터테인먼트 투나잇 등 다수 매체는 헤일리 스타인펠드가 미국 미식축구리그(NFL)버팔로, 1일(현지시간) 미국 엔터테인먼트 투나잇 등 다수 매체는 헤일리 스타인펠.",834,227,27.2,2.31,2025-06-02T17:24:34.469713
현대오토에버,5,현대오토에버 역시 지난해 하반기부터 자체 개발한 생성형 AI 기반 대화형 서비스 '에이치 챗'을 업무에 활용 중이며 마이크로소프트의 '애저 오픈AI'를 기반으로 임직원의 업무를 보좌한다.,793,104,13.1,1.73,2025-06-02T17:24:36.197204
